Twój wiek?,narzędzi niezbędnych do wykonywania pracy i/lub właściwych warunków bhp,dopasowanych do Twoich potrzeb warunków socjalnych,możliwości awansu i/lub przejrzystych warunków jego uzyskania,satysfakcjonującego wynagrodzenia i/lub przejrzystych zasad jego podwyższania,przejrzystych zasad premiowania,szansy na rozwój osobisty wykraczający poza zajmowane stanowisko,możliwości udziału w szkoleniach podnoszących kwalifikacje i kompetencje na zajmowanym stanowisku,bezpieczeństwa zatrudnienia (stałej umowy o pracę),samodzielności w pracy,wpływu na podejmowane w firmie decyzje i działania,dopasowanego do Twoich potrzeb systemu motywacyjnego,równowagi pomiędzy pracą a życiem osobistym (work life balance),przejrzystego systemu oceny pracy,równego traktowania pracowników rozumianego jako brak dyskryminacji i brak faworyzowania wybranych pracowników,regularnego otrzymywania informacji zwrotnej dotyczącej wykonywanej pracy,szacunku i poszanowania godności,dbałości o klimat sprzyjający zadowoleniu z pracy
24-39 lat,zdecydowanie tak,trudno powiedzieć,raczej nie,raczej tak,trudno powiedzieć,raczej nie,raczej nie,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej nie,zdecydowanie nie,raczej nie,raczej nie
24-39 lat,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej tak
24-39 lat,trudno powiedzieć,trudno powiedzieć,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej tak,raczej nie,zdecydowanie nie,raczej nie,raczej tak,raczej nie,raczej nie,zdecydowanie nie,raczej tak,trudno powiedzieć
40-55 lat,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej nie,zdecydowanie nie,raczej nie,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej nie,zdecydowanie nie,raczej nie,trudno powiedzieć,raczej tak,zdecydowanie tak
18-23 lat,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,raczej nie,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,raczej tak,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć
18-23 lat,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak
40-55 lat,zdecydowanie nie,zdecydowanie nie,zdecydowanie nie,zdecydowanie tak,zdecydowanie nie,zdecydowanie nie,raczej nie,zdecydowanie tak,raczej nie,zdecydowanie nie,zdecydowanie nie,raczej tak,zdecydowanie nie,raczej nie,raczej nie,trudno powiedzieć,trudno powiedzieć
24-39 lat,raczej nie,trudno powiedzieć,raczej nie,zdecydowanie tak,raczej nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,zdecydowanie tak,raczej nie,raczej tak,raczej nie,raczej tak,zdecydowanie nie,raczej tak,raczej nie
24-39 lat,trudno powiedzieć,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej nie,zdecydowanie tak,raczej nie,raczej nie,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej nie
40-55 lat,raczej tak,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak
40-55 lat,raczej tak,trudno powiedzieć,raczej nie,raczej tak,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak
24-39 lat,raczej tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak
24-39 lat,raczej nie,zdecydowanie nie,raczej nie,raczej tak,raczej nie,raczej nie,raczej nie,zdecydowanie tak,trudno powiedzieć,raczej tak,raczej nie,raczej nie,raczej nie,trudno powiedzieć,raczej nie,zdecydowanie tak,trudno powiedzieć
18-23 lat,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej tak
24-39 lat,raczej tak,raczej tak,trudno powiedzieć,raczej tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak
40-55 lat,trudno powiedzieć,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,raczej nie,raczej tak,trudno powiedzieć
40-55 lat,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,raczej nie,raczej nie,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak
24-39 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej tak,raczej nie,trudno powiedzieć,raczej tak,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,raczej tak
18-23 lat,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej tak,raczej nie,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej nie,zdecydowanie tak,zdecydowanie tak
24-39 lat,zdecydowanie tak,trudno powiedzieć,raczej tak,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej nie,zdecydowanie tak,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak
24-39 lat,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak
40-55 lat,raczej nie,raczej nie,raczej nie,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,trudno powiedzieć,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,raczej nie
24-39 lat,trudno powiedzieć,raczej nie,zdecydowanie tak,raczej tak,raczej tak,raczej tak,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,raczej nie,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak
40-55 lat,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć
24-39 lat,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,zdecydowanie tak
18-23 lat,raczej tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej nie,zdecydowanie nie,zdecydowanie nie,trudno powiedzieć,trudno powiedzieć,zdecydowanie nie,raczej nie,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej nie,zdecydowanie tak,raczej tak
24-39 lat,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć
24-39 lat,zdecydowanie tak,zdecydowanie nie,raczej tak,zdecydowanie tak,raczej tak,raczej nie,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,raczej tak,raczej tak,raczej nie,zdecydowanie tak,zdecydowanie tak
40-55 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej tak
40-55 lat,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak
40-55 lat,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,raczej nie,trudno powiedzieć,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie
24-39 lat,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,trudno powiedzieć,zdecydowanie tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak
24-39 lat,trudno powiedzieć,raczej nie,raczej nie,raczej tak,trudno powiedzieć,raczej nie,raczej nie,zdecydowanie tak,raczej nie,zdecydowanie nie,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak
40-55 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej nie,zdecydowanie tak,trudno powiedzieć,raczej tak,raczej nie,raczej tak,raczej tak
40-55 lat,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć
40-55 lat,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,raczej tak,raczej tak
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć
40-55 lat,zdecydowanie nie,zdecydowanie nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,zdecydowanie nie,zdecydowanie nie,raczej nie,raczej nie,zdecydowanie nie,zdecydowanie nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,raczej nie
40-55 lat,trudno powiedzieć,raczej nie,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak
24-39 lat,raczej nie,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej nie,raczej nie,raczej nie,raczej nie,raczej tak,raczej tak
40-55 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak
40-55 lat,raczej tak,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,raczej nie,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,raczej tak,raczej tak,raczej tak,trudno powiedzieć
24-39 lat,trudno powiedzieć,raczej nie,zdecydowanie tak,raczej tak,trudno powiedzieć,zdecydowanie tak,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,raczej tak,raczej tak
40-55 lat,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak
24-39 lat,zdecydowanie tak,zdecydowanie tak,zdecydowanie nie,zdecydowanie tak,raczej tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak
24-39 lat,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak
24-39 lat,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,trudno powiedzieć,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak
18-23 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,trudno powiedzieć
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej nie,raczej nie,raczej nie,raczej tak,trudno powiedzieć,raczej nie,raczej nie,raczej tak,trudno powiedzieć,raczej tak,raczej nie,raczej tak,trudno powiedzieć
24-39 lat,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak
24-39 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,raczej tak,raczej tak
24-39 lat,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej tak,raczej nie,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,raczej tak,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej tak,zdecydowanie tak,zdecydowanie tak
40-55 lat,zdecydowanie tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak
40-55 lat,trudno powiedzieć,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak
24-39 lat,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej nie,zdecydowanie tak,raczej nie,zdecydowanie tak,raczej tak
40-55 lat,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej nie,raczej nie,raczej nie,raczej tak,raczej nie,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak
40-55 lat,raczej tak,trudno powiedzieć,raczej tak,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,zdecydowanie tak,raczej nie,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej tak,raczej nie,zdecydowanie tak,raczej tak
40-55 lat,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej tak,raczej nie,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak
24-39 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,raczej tak,raczej nie,raczej tak,raczej tak
40-55 lat,raczej tak,raczej tak,raczej tak,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,raczej tak,raczej tak,trudno powiedzieć,raczej tak,raczej tak,raczej tak,raczej tak,zdecydowanie tak,raczej tak
40-55 lat,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,zdecydowanie nie,raczej nie,raczej nie,zdecydowanie nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie,raczej nie
24-39 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,zdecydowanie tak,raczej tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,raczej tak,zdecydowanie tak,trudno powiedzieć,raczej tak,trudno powiedzieć
24-39 lat,raczej nie,raczej nie,trudno powiedzieć,zdecydowanie tak,raczej tak,raczej tak,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,zdecydowanie tak,raczej tak,raczej tak,raczej tak
40-55 lat,raczej tak,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,raczej tak,zdecydowanie tak,zdecydowanie tak,raczej tak,raczej tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak
40-55 lat,raczej nie,raczej nie,raczej nie,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,raczej tak,raczej nie,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej tak,raczej tak
24-39 lat,raczej tak,trudno powiedzieć,raczej tak,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej tak,raczej tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,raczej nie,trudno powiedzieć,raczej nie
40-55 lat,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej tak,trudno powiedzieć,raczej nie,trudno powiedzieć,trudno powiedzieć,trudno powiedzieć,raczej nie,raczej nie,raczej tak,trudno powiedzieć
24-39 lat,raczej tak,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,trudno powiedzieć,zdecydowanie tak,zdecydowanie tak,raczej nie,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,zdecydowanie tak,raczej nie,zdecydowanie tak,zdecydowanie tak
24-39 lat,zdecydowanie tak,zdecydowanie tak,trudno powiedzieć,raczej tak,raczej nie,trudno powiedzieć,raczej tak,zdecydowanie tak,raczej nie,raczej nie,trudno powiedzieć,raczej nie,zdecydowanie nie,trudno powiedzieć,raczej nie,zdecydowanie tak,raczej tak
