Twój wiek?,czujesz spadek satysfakcji z wykonywanej pracy,spada Twoje poczucie lojalności wobec pracodawcy/przełożonego,spada Twoje zaangażowanie w pracę,ograniczasz się wyłącznie do realizowania podstawowych obowiązków,pozwalasz sobie na załatwianie prywatnych spraw w pracy (np. telefony maile  przeglądanie stron internetowych  itp..),pracujesz tylko wtedy  kiedy przełożony patrzy Ci na ręce,czujesz duży stres,bierzesz L-4 nawet kiedy nie jesteś chory(a),masz poczucie  że brakuje Ci sił do pracy  że się wypalasz,na samą myśl o przyjściu do pracy źle się czujesz (np. boli Cię brzuch  głowa  czujesz niepokój  itp..),w poszukiwaniu sprawiedliwości wynosisz z pracy drobne rzeczy (np. papier  spinacze  długopisy  karteczki  itp..),w sposób dyskretny celowo niszczysz rzeczy należące do pracodawcy,przestajesz stosować się do obowiązujących w firmie norm,uciekasz się do akcji sabotażowych (np. buntujesz współpracowników  rozpuszczasz wymyślone informacje  itp..) ,masz ochotę zmienić pracę  ale tego nie robisz,składasz wymówienie i szukasz innej pracy
40-55 lat,tak,nie,tak,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,tak,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,tak
18-23 lat,tak,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,tak,tak,tak,nie,nie,nie,tak,tak,nie,nie,nie,nie,tak,nie
24-39 lat,tak,nie,tak,tak,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,tak,tak,nie,nie,nie,nie,tak,nie,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,tak,tak,nie,nie,nie,tak,nie,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,tak,tak,nie,tak,nie,nie,nie,tak,tak,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,nie,nie,tak,nie,nie,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,tak,tak,tak,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,tak,tak,tak,nie,nie,tak,nie,tak,tak,nie,nie,nie,nie,tak,nie
40-55 lat,nie,nie,nie,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,nie,tak,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,tak,nie,nie,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,nie,nie,nie,nie,nie,nie,tak,nie,nie,tak,nie,nie,nie,nie,nie,nie
40-55 lat,tak,tak,tak,tak,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,tak,tak,nie,nie,tak,nie,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,nie,tak,nie,tak,nie,tak,nie,tak,tak,nie,nie,nie,nie,tak,nie
40-55 lat,tak,tak,tak,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,tak,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,tak,tak,nie,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,tak
24-39 lat,tak,tak,tak,tak,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,tak,tak,nie,tak,nie,nie,tak,tak,nie,nie,nie,nie,nie,tak
24-39 lat,tak,nie,tak,tak,tak,nie,nie,nie,tak,tak,nie,nie,nie,nie,tak,nie
18-23 lat,tak,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,tak,nie
40-55 lat,tak,nie,nie,nie,tak,nie,tak,nie,tak,tak,nie,nie,nie,nie,tak,nie
24-39 lat,tak,nie,tak,tak,nie,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,tak,tak,tak,nie,tak,nie,tak,tak,nie,nie,nie,nie,tak,nie
24-39 lat,tak,tak,tak,tak,tak,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,tak
40-55 lat,tak,nie,nie,tak,nie,nie,tak,nie,tak,tak,nie,nie,nie,nie,tak,nie
40-55 lat,tak,nie,nie,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,tak,tak,nie,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,tak,tak,tak,tak,nie,nie,nie,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,nie,nie,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,nie,tak,tak,nie,nie,tak,nie,tak,tak,tak,nie,nie,nie,nie,tak
24-39 lat,tak,tak,nie,nie,tak,nie,tak,nie,tak,nie,nie,nie,tak,nie,tak,nie
40-55 lat,tak,nie,tak,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,nie
40-55 lat,nie,nie,nie,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,nie,tak,tak,tak,nie,nie,nie,tak,tak,nie,nie,nie,nie,nie,tak
24-39 lat,tak,nie,tak,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,tak,nie
40-55 lat,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
40-55 lat,tak,tak,tak,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,tak,tak,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,tak,tak
40-55 lat,nie,nie,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
24-39 lat,tak,tak,nie,nie,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,tak,tak
24-39 lat,tak,nie,tak,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie
18-23 lat,tak,tak,tak,tak,nie,nie,tak,tak,tak,nie,nie,nie,nie,nie,nie,tak
24-39 lat,nie,nie,tak,tak,tak,nie,nie,tak,tak,tak,tak,tak,tak,tak,nie,tak
24-39 lat,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,tak,nie,nie,nie,tak
40-55 lat,tak,tak,nie,nie,tak,nie,nie,nie,tak,nie,tak,nie,nie,nie,tak,nie
