18-23 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;;bo już próbowałeś(aś) i zostałeś(aś) za to ukarany(a);
18-23 lat;nie wierzysz, że to coś zmieni;;;boisz się, że zostaniesz zwolniony(a);;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;bo już próbowałeś(aś) i zostałeś(aś) za to ukarany(a);
40-55 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);;;;;
40-55 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
24-39 lat;;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;uważasz, że pracodawca powinien się domyśleć;;;
18-23 lat;nie wierzysz, że to coś zmieni;;uważasz, że Twoje oczekiwania nie są ważne;;;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;uważasz, że Twoje oczekiwania nie są ważne;boisz się, że zostaniesz zwolniony(a);w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;inne
24-39 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
18-23 lat;;;;;;;;;
24-39 lat;;;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);;;;;
24-39 lat;;;;boisz się, że zostaniesz zwolniony(a);;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
40-55 lat;;;;;;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;;;;;;;;;
18-23 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;uważasz, że pracodawca powinien się domyśleć;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;nie wierzysz, że to coś zmieni;;uważasz, że Twoje oczekiwania nie są ważne;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;;;;;;;;;inne
24-39 lat;;;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;boisz się, że zostaniesz zwolniony(a);w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;;bo już próbowałeś(aś) i zostałeś(aś) za to ukarany(a);
40-55 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;uważasz, że pracodawca powinien się domyśleć;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;uważasz, że pracodawca powinien się domyśleć;;bo już próbowałeś(aś) i zostałeś(aś) za to ukarany(a);
24-39 lat;nie wierzysz, że to coś zmieni;;;boisz się, że zostaniesz zwolniony(a);;uważasz, że pracodawca powinien się domyśleć;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
40-55 lat;;;;;;;;;
40-55 lat;;;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;;;;;;;;;
24-39 lat;;;;;;;;;inne
24-39 lat;;;;;;;;;
24-39 lat;;;;;;;;;
18-23 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;boisz się, że zostaniesz zwolniony(a);;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;nie wierzysz, że to coś zmieni;;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;;;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;uważasz, że Twoje oczekiwania nie są ważne;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
40-55 lat;;;;;;;;;
40-55 lat;;;;;;;;;inne
40-55 lat;;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
40-55 lat;;;;;;;;;
40-55 lat;;;uważasz, że Twoje oczekiwania nie są ważne;;;;;;
24-39 lat;;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;;uważasz, że Twoje oczekiwania nie są ważne;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
24-39 lat;;;;;;;;;
40-55 lat;nie wierzysz, że to coś zmieni;;;boisz się, że zostaniesz zwolniony(a);;;;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;uważasz, że pracodawca powinien się domyśleć;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
24-39 lat;nie wierzysz, że to coś zmieni;boisz się, że zostaniesz uznany(a) za roszczeniowego;;;;;;;
18-23 lat;nie wierzysz, że to coś zmieni;;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;;;
24-39 lat;;;;;;;;;
24-39 lat;nie wierzysz, że to coś zmieni;;;;w firmie, w której pracujesz, nikt nie komunikuje potrzeb;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
40-55 lat;nie wierzysz, że to coś zmieni;;;;;;uważasz, że pracodawcy nie interesują Twoje oczekiwania;;
